phase,time_mean_s,time_std_s,mem_mean_mb,mem_std_mb,flops_g,params_m
model_specs,,,,,0.024289056,0.23229
train,18.016399240493776,6.032183474706505,3288.63671875,1.406542938238778,,
test,8.464380979537964,,168.27587890625,,,
model_specs,,,,,0.024289056,0.23229
train,19.51186246871948,7.637981809293886,3233.8822265625,1.3073117991970487,,
test,8.750674962997437,,112.5908203125,,,
model_specs,,,,,0.024289056,0.23229
train,17.886009836196898,2.6679070322828538,306.16435546875,9.912189585574474,,
test,11.671041250228882,,112.65771484375,,,
model_specs,,,,,0.024289056,0.23229
train,17.66891393661499,3.1156798576727183,308.19208984375,1.4936146439392737,,
test,11.0393545627594,,136.40673828125,,,
model_specs,,,,,0.024289056,0.23229
train,20.96444516181946,3.942970019825352,295.70810546875,11.160247267851634,,
test,12.531626462936401,,112.65771484375,,,
