tag,fold,acc,f1_macro,ft_acc,params_total,params_trainable,flops_est,latency_s,L,d,enc_heads,enc_layers
nb2_h6,1,0.8106575963718821,0.8106573529770942,0.8526077097505669,232290,232290,24289056,0.0011120223999023437,121,144,4,1
nb2_h6,2,0.8356009070294784,0.835278843590249,0.8877551020408163,232290,232290,24289056,0.0011180019378662109,121,144,4,1
nb2_h6,3,0.808390022675737,0.8083779527559055,0.8469387755102041,232290,232290,24289056,0.0011379814147949219,121,144,4,1
nb2_h6,4,0.8119047619047619,0.8098174981658107,0.8738095238095238,232290,232290,24289056,0.001128687858581543,121,144,4,1
nb2_h6,5,0.8464285714285714,0.8464109400313812,0.8785714285714286,232290,232290,24289056,0.0011151742935180664,121,144,4,1
nb2_h6,1,0.8106575963718821,0.8106573529770942,0.8526077097505669,232290,232290,24289056,0.0011210680007934571,121,144,4,1
nb2_h6,2,0.8356009070294784,0.835278843590249,0.8877551020408163,232290,232290,24289056,0.0011192131042480468,121,144,4,1
nb2_h6,3,0.808390022675737,0.8083779527559055,0.8469387755102041,232290,232290,24289056,0.001132040023803711,121,144,4,1
nb2_h6,4,0.8119047619047619,0.8098174981658107,0.8738095238095238,232290,232290,24289056,0.0011221647262573242,121,144,4,1
nb2_h6,5,0.8464285714285714,0.8464109400313812,0.8785714285714286,232290,232290,24289056,0.0011207342147827148,121,144,4,1
nb2_h6,1,0.7755102040816326,0.7754813428230551,0.854875283446712,232290,232290,24289056,0.0017559623718261719,121,144,4,1
nb2_h6,2,0.826530612244898,0.8265303892544635,0.8843537414965986,232290,232290,24289056,0.0016212606430053712,121,144,4,1
nb2_h6,3,0.8095238095238095,0.8094758064516129,0.8424036281179138,232290,232290,24289056,0.0016230297088623046,121,144,4,1
nb2_h6,4,0.8428571428571429,0.8425992697787191,0.8833333333333333,232290,232290,24289056,0.0016091537475585937,121,144,4,1
nb2_h6,5,0.8261904761904761,0.82618653484206,0.8904761904761904,232290,232290,24289056,0.0017183208465576172,121,144,4,1
nb2_h6,1,0.7755102040816326,0.7754813428230551,0.854875283446712,232290,232290,24289056,0.0016205310821533203,121,144,4,1
nb2_h6,2,0.826530612244898,0.8265303892544635,0.8843537414965986,232290,232290,24289056,0.0016303205490112306,121,144,4,1
nb2_h6,3,0.8095238095238095,0.8094758064516129,0.8424036281179138,232290,232290,24289056,0.0017089414596557616,121,144,4,1
nb2_h6,4,0.8428571428571429,0.8425992697787191,0.8833333333333333,232290,232290,24289056,0.001630992889404297,121,144,4,1
nb2_h6,5,0.8261904761904761,0.82618653484206,0.8904761904761904,232290,232290,24289056,0.0016310930252075196,121,144,4,1
nb2_h6,1,0.7755102040816326,0.7754813428230551,0.854875283446712,232290,232290,24289056,0.0024775123596191407,121,144,4,1
nb2_h6,2,0.826530612244898,0.8265303892544635,0.8843537414965986,232290,232290,24289056,0.0021738815307617188,121,144,4,1
nb2_h6,3,0.8095238095238095,0.8094758064516129,0.8424036281179138,232290,232290,24289056,0.0016460990905761718,121,144,4,1
nb2_h6,4,0.8428571428571429,0.8425992697787191,0.8833333333333333,232290,232290,24289056,0.001652674674987793,121,144,4,1
nb2_h6,5,0.8261904761904761,0.82618653484206,0.8904761904761904,232290,232290,24289056,0.0016676807403564454,121,144,4,1
